Acc Number,New Acc No,Old Acc No,Meter No,Acc Name,Subzone,Tariff,Connection Status
00859-2100100859,,,09436,,RUIRU TOWN,Commercial,
00098-2100100098,,,1019518,,RUIRU TOWN,Domestic,
00095-2100100095,,,H18JA010127,,RUIRU TOWN,Commercial,
00079-2100100079,,,1016204,,RUIRU TOWN,Domestic,
00050-2100100050,,,1017817,,RUIRU TOWN,Commercial,
00025-2100100025,,,19015181,,RUIRU TOWN,Commercial,
00151-2100100151,,,H17JA014743,,RUIRU TOWN,Commercial,
00163-2100100163,,,120037,,RUIRU TOWN,Commercial,
00160-2100100160,,,120094,,RUIRU TOWN,Domestic,
30634-2100130634,,,19031581,,RUIRU TOWN,Commercial,
30632-2100130632,,,19031579,,RUIRU TOWN,Domestic,
18864-2100118864,,,17107006,,RUIRU TOWN,Domestic,
18796-2100118796,,,17106438,,RUIRU TOWN,Domestic,
18883-2100218883,,,045395,,RUIRU TOWN,Domestic,
30777-2100130777,,,19039339,,RUIRU TOWN,Domestic,
30776-2100130776,,,19039338,,RUIRU TOWN,Domestic,
30778-2100130778,,,19039340,,RUIRU TOWN,Domestic,
30810-2100130810,,,19040461,,RUIRU TOWN,Domestic,
31226-2100131226,,,19031235,,RUIRU TOWN,Domestic,
30060-2100130060,,,19031653,,RUIRU TOWN,Domestic,
30155-2100130155,,,19039946,,RUIRU TOWN,Domestic,
31149-2100131149,,,19039231,,RUIRU TOWN,Domestic,
31342-2100131342,,,19056850,,RUIRU TOWN,Domestic,
31450-2100131450,,,19058584,,RUIRU TOWN,Domestic,
30153-2100130153,,,19039944,,RUIRU TOWN,Domestic,
31302-2100131302,,,19030094,,RUIRU TOWN,Domestic,
30908-2100130908,,,19040113,,RUIRU TOWN,Domestic,
31044-2100131044,,,19040157,,RUIRU TOWN,Domestic,
30437-2100130437,,,19031395,,RUIRU TOWN,Domestic,
30436-2100130436,,,19031394,,RUIRU TOWN,Domestic,
30435-2100130435,,,19031393,,RUIRU TOWN,Domestic,
30317-2100130317,,,19030188,,RUIRU TOWN,Domestic,
30487-2100130487,,,19031152,,RUIRU TOWN,Domestic,
30489-2100130489,,,19031151,,RUIRU TOWN,Commercial,
30410-2100130410,,,19039528,,RUIRU TOWN,Domestic,
30890-2100130890,,,19029767,,RUIRU TOWN,Domestic,
30892-2100130892,,,19029769,,RUIRU TOWN,Domestic,
30891-2100130891,,,19029768,,RUIRU TOWN,Domestic,
06435-2100106435,,,210011521,,RUIRU TOWN,Commercial,
31076-2100131076,,,19039260,,RUIRU TOWN,Domestic,
30569-2100130569,,,19039183,,RUIRU TOWN,Domestic,
30570-2100130570,,,19039184,,RUIRU TOWN,Domestic,
06649-2100106649,,,20151100869,,RUIRU TOWN,Commercial,
13137-2100113137,,,H17JA014657,,RUIRU TOWN,Commercial,
14813-2100114813,,,16014444,,RUIRU TOWN,Domestic,
00137-2100100137,,,19014986,,RUIRU TOWN,Commercial,
27771-2100127771,,,150326418,,RUIRU TOWN,Domestic,
27769-2100127769,,,150326218,,RUIRU TOWN,Domestic,
28199-2100128199,,,19011318,,RUIRU TOWN,Domestic,
27278-2100127278,,,18054965,,RUIRU TOWN,Domestic,
27275-2100127275,,,18054963,,RUIRU TOWN,Domestic,
27276-2100127276,,,18054962,,RUIRU TOWN,Domestic,
27277-2100127277,,,18054964,,RUIRU TOWN,Domestic,
27367-2100127367,,,18056784,,RUIRU TOWN,Domestic,
27366-2100127366,,,18086076,,RUIRU TOWN,Domestic,
27364-2100127364,,,18086083,,RUIRU TOWN,Domestic,
28884-2100128884,,,19012737,,RUIRU TOWN,Domestic,
27466-2100127466,,,H18JA016991,,RUIRU TOWN,Domestic,
27467-2100127467,,,H18JA016992,,RUIRU TOWN,Domestic,
28945-2100128945,,,19012655,,RUIRU TOWN,Domestic,
29352-2100129352,,,19015100,,RUIRU TOWN,Commercial,
28083-2100128083,,,19012683,,RUIRU TOWN,Domestic,
28082-2100128082,,,19012682,,RUIRU TOWN,Domestic,
28081-2100128081,,,19012681,,RUIRU TOWN,Domestic,
28799-2100228799,,,19012422,,RUIRU TOWN,Domestic,
29169-2100129169,,,19015108,,RUIRU TOWN,Domestic,
28298-2100128298,,,19013534,,RUIRU TOWN,Domestic,
28299-2100128299,,,19013535,,RUIRU TOWN,Domestic,
28295-2100128295,,,19013530,,RUIRU TOWN,Domestic,
28296-2100128296,,,19013532,,RUIRU TOWN,Domestic,
28574-2100128574,,,150334718,,RUIRU TOWN,Domestic,
28576-2100128576,,,150334918,,RUIRU TOWN,Domestic,
27950-2100127950,,,19011854,,RUIRU TOWN,Domestic,
20862-2100120862,,,17134325,,RUIRU TOWN,Domestic,
20975-2100120975,,,17132192,,RUIRU TOWN,Domestic,
28702-2100128702,,,150317018,,RUIRU TOWN,Domestic,
28941-2100128941,,,19012652,,RUIRU TOWN,Domestic,
28410-2100128410,,,19013925,,RUIRU TOWN,Domestic,
27595-2100127595,,,150287018,,RUIRU TOWN,Commercial,
27690-2100127690,,,18053935,,RUIRU TOWN,Domestic,
27580-2100127580,,,150293418,,RUIRU TOWN,Domestic,
27578-2100127578,,,150293218,,RUIRU TOWN,Domestic,
28135-2100128135,,,19011422,,RUIRU TOWN,Domestic,
27624-2100127624,,,150262318,,RUIRU TOWN,Commercial,
28220-2100128220,,,150326218,,RUIRU TOWN,Domestic,
27465-2100127465,,,18085186,,RUIRU TOWN,Domestic,
27454-2100127454,,,H18JA015502,,RUIRU TOWN,Domestic,
26769-2100126769,,,H18JA016609,,RUIRU TOWN,Domestic,
26799-2100126799,,,H18JA016980,,RUIRU TOWN,Domestic,
27952-2100127952,,,19011857,,RUIRU TOWN,Domestic,
26846-2100126846,,,18085559,,RUIRU TOWN,Domestic,
26845-2100126845,,,19011907,,RUIRU TOWN,Domestic,
26844-2100126844,,,18085557,,RUIRU TOWN,Domestic,
26843-2100126843,,,18085556,,RUIRU TOWN,Domestic,
27365-2100127365,,,18086081,,RUIRU TOWN,Domestic,
26812-2100126812,,,18055828,,RUIRU TOWN,Domestic,
26956-2100126956,,,18057562,,RUIRU TOWN,Domestic,
20863-2100120863,,,17130730,,RUIRU TOWN,Domestic,
26896-2100126896,,,18086095,,RUIRU TOWN,Domestic,
26894-2100126894,,,18086091,,RUIRU TOWN,Domestic,
26892-2100126892,,,18086089,,RUIRU TOWN,Domestic,
26891-2100126891,,,18086088,,RUIRU TOWN,Domestic,
27581-2100127581,,,150293518,,RUIRU TOWN,Domestic,
27579-2100127579,,,150293318,,RUIRU TOWN,Domestic,
27577-2100127577,,,150293118,,RUIRU TOWN,Domestic,
27770-2100127770,,,150326318,,RUIRU TOWN,Domestic,
26513-2100126513,,,18057311,,RUIRU TOWN,Domestic,
26524-2100126524,,,18085602,,RUIRU TOWN,Domestic,
26523-2100126523,,,18085601,,RUIRU TOWN,Domestic,
26813-2100126813,,,18055829,,RUIRU TOWN,Domestic,
26821-2100126821,,,18055825,,RUIRU TOWN,Domestic,
26819-2100126819,,,18055823,,RUIRU TOWN,Domestic,
26817-2100126817,,,19012648,,RUIRU TOWN,Domestic,
26816-2100126816,,,18055827,,RUIRU TOWN,Domestic,
26815-2100126815,,,18055831,,RUIRU TOWN,Domestic,
26814-2100126814,,,18055830,,RUIRU TOWN,Domestic,
19942-2100119942,,,17131027,,RUIRU TOWN,Domestic,
26525-2100126525,,,18056383,,RUIRU TOWN,Domestic,
26556-2100126556,,,1019341,,RUIRU TOWN,Commercial,
26237-2100126237,,,18054131,,RUIRU TOWN,Commercial,
26234-2100126234,,,18054128,,RUIRU TOWN,Domestic,
26746-2100126746,,,H18JA014936,,RUIRU TOWN,Domestic,
27182-2100127182,,,18054741,,RUIRU TOWN,Domestic,
25943-2100125943,,,18053935,,RUIRU TOWN,Domestic,
25940-2100125940,,,18053932,,RUIRU TOWN,Domestic,
25185-2100125185,,,18085822,,RUIRU TOWN,Domestic,
25507-2100125507,,,18054464,,RUIRU TOWN,Domestic,
26257-2100126257,,,19031430,,RUIRU TOWN,Domestic,
26593-2100126593,,,18053208,,RUIRU TOWN,Commercial,
07103-2100107103,,,1303431,,RUIRU TOWN,Domestic,
25783-2100125783,,,18055379,,RUIRU TOWN,Commercial           .,
19737-2100119737,,,17133534,,RUIRU TOWN,Domestic,
25489-2100125489,,,19029482,,RUIRU TOWN,Domestic,
22936-2100122936,,,H18JA013780,,RUIRU TOWN,Domestic,
25059-2100125059,,,H18JA015681,,RUIRU TOWN,Domestic,
25612-2100125612,,,18057751,,RUIRU TOWN,Domestic,
23230-2100223230,,,H18JA013554,,RUIRU TOWN,Domestic,
24648-2100124648,,,150086818,,RUIRU TOWN,Domestic,
24709-2100124709,,,150104518,,RUIRU TOWN,Domestic,
23914-2100123914,,,H18JA015629,,RUIRU TOWN,Domestic,
24836-2100124836,,,18055513,,RUIRU TOWN,Domestic,
23854-2100123854,,,18085502,,RUIRU TOWN,Commercial,
28619-2100128619,,,150335118,,RUIRU TOWN,Commercial,
25422-2100125422,,,18053372,,RUIRU TOWN,Domestic,
19325-2100119325,,,17136324,,RUIRU TOWN,Domestic,
22941-2100222941,,,H18JA013770,,RUIRU TOWN,Domestic,
22934-2100122934,,,H18JA013779,,RUIRU TOWN,Domestic,
22935-2100122935,,,H18JA013780,,RUIRU TOWN,Domestic,
21060-2100121060,,,17132365,,RUIRU TOWN,Domestic,
23591-2100123591,,,18055673,,RUIRU TOWN,Domestic,
22308-2100222308,,,17179153,,RUIRU TOWN,Domestic,
23181-2100123181,,,17108027,,RUIRU TOWN,Commercial,
19130-2100119130,,,17106947,,RUIRU TOWN,Domestic,
23271-2100123271,,,17180154,,RUIRU TOWN,Domestic,
18204-2100118204,,,17082695,,RUIRU TOWN,Domestic,
18205-2100118205,,,19039907,,RUIRU TOWN,Domestic,
18207-2100118207,,,17081692,,RUIRU TOWN,Domestic,
18530-2100118530,,,17083784,,RUIRU TOWN,Domestic,
22842-2100122842,,,H18JA013606,,RUIRU TOWN,Domestic,
20402-2100120402,,,17013399,,RUIRU TOWN,Domestic,
22483-2100122483,,,17177008,,RUIRU TOWN,Domestic,
17700-2100117700,,,H18JA013800,,RUIRU TOWN,Domestic,
17947-2100117947,,,17177914,,RUIRU TOWN,Domestic,
16545-2100116545,,,1604,,RUIRU TOWN,Domestic,
29396-2100129396,,,19015166,,RUIRU TOWN,Domestic,
00031-2100100031,,,1017532,,RUIRU TOWN,Commercial,
29333-2100129333,,,19014918,,RUIRU TOWN,Domestic,
29406-2100129406,,,19014433,,RUIRU TOWN,Domestic,
22679-2100122679,,,18JA013795,,RUIRU TOWN,Domestic,
22148-2100122148,,,18011725,,RUIRU TOWN,Commercial,
21890-2100121890,,,17137674,,RUIRU TOWN,Domestic,
21918-2100221918,,,17179434,,RUIRU TOWN,Domestic,
22607-2100122607,,,17137843,,RUIRU TOWN,Domestic,
22490-2100122490,,,17176459,,RUIRU TOWN,Domestic,
21596-2100121596,,,17177982,,RUIRU TOWN,Domestic,
21500-2100121500,,,17178418,,RUIRU TOWN,Domestic,
21640-2100121640,,,17179023,,RUIRU TOWN,Domestic,
21624-2100121624,,,17178456,,RUIRU TOWN,Domestic,
21641-2100121641,,,17179024,,RUIRU TOWN,Domestic,
21642-2100121642,,,17179025,,RUIRU TOWN,Domestic,
21574-2100121574,,,17177644,,RUIRU TOWN,Domestic,
21458-2100121458,,,18011810,,RUIRU TOWN,Domestic,
21455-2100121455,,,18011807,,RUIRU TOWN,Domestic,
21622-2100121622,,,17178454,,RUIRU TOWN,Domestic,
21623-2100121623,,,17178455,,RUIRU TOWN,Domestic,
21626-2100121626,,,17178457,,RUIRU TOWN,Domestic,
21643-2100121643,,,17179026,,RUIRU TOWN,Domestic,
21474-2100221474,,,17131827,,RUIRU TOWN,Domestic,
21631-2100121631,,,D-91522,,RUIRU TOWN,Commercial,
24306-2100224306,,,150011018,,RUIRU TOWN,Domestic,
22078-2100122078,,,17134046,,RUIRU TOWN,Commercial,
21951-2100121951,,,17176072,,RUIRU TOWN,Domestic,
21798-2100121798,,,17178075,,RUIRU TOWN,Domestic,
21644-2100121644,,,17179027,,RUIRU TOWN,Domestic,
21645-2100121645,,,17179028,,RUIRU TOWN,Domestic,
21667-2100121667,,,17178480,,RUIRU TOWN,Domestic,
21717-2100121717,,,17177886,,RUIRU TOWN,Domestic,
22587-2100122587,,,18012334,,RUIRU TOWN,Domestic,
20394-2100120394,,,7179174,,RUIRU TOWN,Commercial,
29094-2100129094,,,19014991,,RUIRU TOWN,Domestic,
29196-2100129196,,,19014698,,RUIRU TOWN,Commercial,
28939-2100128939,,,19012650,,RUIRU TOWN,Domestic,
28940-2100128940,,,19012651,,RUIRU TOWN,Domestic,
29006-2100129006,,,19010854,,RUIRU TOWN,Domestic,
29005-2100129005,,,19010853,,RUIRU TOWN,Domestic,
29250-2100129250,,,19015082,,RUIRU TOWN,Domestic,
29251-2100129251,,,19014397,,RUIRU TOWN,Domestic,
29158-2100129158,,,19014702,,RUIRU TOWN,Domestic,
29336-2100129336,,,19014922,,RUIRU TOWN,Domestic,
29934-2100129934,,,19029667,,RUIRU TOWN,Domestic,
29935-2100129935,,,19029668,,RUIRU TOWN,Domestic,
29896-2100129896,,,19040850,,RUIRU TOWN,Domestic,
31242-2100131242,,,19028983,,RUIRU TOWN,Commercial,
21101-2100221101,,,17177827,,RUIRU TOWN,Commercial,
30671-2100130671,,,19039909,,RUIRU TOWN,Domestic,
29932-2100129932,,,19029665,,RUIRU TOWN,Domestic,
21457-2100121457,,,18011809,,RUIRU TOWN,Domestic,
21454-2100121454,,,18011806,,RUIRU TOWN,Domestic,
20677-2100120677,,,H17JA014653,,RUIRU TOWN,COMMERCIAL,
00129-2100100129,,,JA016297,,RUIRU TOWN,Commercial,
00090-2100100090,,,h17ja014488,,RUIRU TOWN,Commercial,
00097-2100100097,,,1301041,,RUIRU TOWN,Domestic,
00114-2100100114,,,h17ja014483,,RUIRU TOWN,Commercial,
20950-2100120950,,,H17JA014489,,RUIRU TOWN,Commercial,
00131-2100100131,,,h18ja016346,,RUIRU TOWN,Commercial,
00107-2100100107,,,1018929,,RUIRU TOWN,Commercial,
00120-2100100120,,,1020630,,RUIRU TOWN,Commercial,
00161-2100100161,,,H17JA014586,,RUIRU TOWN,Commercial,
00115-2100100115,,,H17JA014589,,RUIRU TOWN,Commercial,
21536-2100121536,,,17179751,,RUIRU TOWN,Commercial,
15181-2100115181,,,1512776,,RUIRU TOWN,Commercial,
10064-2100110064,,,H17JA014511,,RUIRU TOWN,Commercial,
00070-2100100070,,,H17JA014747,,RUIRU TOWN,Commercial,
21392-2100121392,,,H17JA014743,,RUIRU TOWN,Commercial,
00145-2100100145,,,17176263,,RUIRU TOWN,Commercial,
00126-2100100126,,,H17JA014518,,RUIRU TOWN,Commercial,
00047-2100100047,,,H17JA014660,,RUIRU TOWN,Commercial,
00032-2100100032,,,H17JA012989,,RUIRU TOWN,Commercial,
00102-2100100102,,,1016360,,RUIRU TOWN,Commercial,
00051-2100100051,,,1016014,,RUIRU TOWN,Commercial,
00103-2100100103,,,H17JA014652,,RUIRU TOWN,Commercial,
00017-2100100017,,,1016228,,RUIRU TOWN,Commercial,
00053-2100100053,,,1019563,,RUIRU TOWN,Commercial,
00134-2100100134,,,1019576,,RUIRU TOWN,Commercial,
00018-2100100018,,,H17JA014749,,RUIRU TOWN,Commercial,
21580-2100121580,,,h18ja0163111,,RUIRU TOWN,Commercial,
00132-2100100132,,,1019970,,RUIRU TOWN,Commercial,
00121-2100100121,,,1018556,,RUIRU TOWN,Commercial,
00164-2100100164,,,CDJK0834,,RUIRU TOWN,Commercial,
00155-2100100155,,,112345,,RUIRU TOWN,Commercial,
00041-2100100041,,,1020784,,RUIRU TOWN,Commercial,
00038-2100100038,,,1016303,,RUIRU TOWN,Commercial,
01689-2100101689,,,1068412,,RUIRU TOWN,Commercial,
00006-2100100006,,,H17JA013170,,RUIRU TOWN,Commercial,
00058-2100100058,,,H17JA014514,,RUIRU TOWN,Commercial,
00043-2100100043,,,1016851,,RUIRU TOWN,Commercial,
00036-2100100036,,,H17JA014515,,RUIRU TOWN,Domestic,
00142-2100100142,,,201006042,,RUIRU TOWN,Commercial,
10065-2100110065,,,14231815,,RUIRU TOWN,Domestic,
13567-2100113567,,,20150900575,,RUIRU TOWN,Domestic,
00034-2100100034,,,1020965,,RUIRU TOWN,Commercial,
00045-2100100045,,,120084,,RUIRU TOWN,Commercial,
00052-2100100052,,,H17JA014513,,RUIRU TOWN,Domestic,
08007-2100108007,,,1304920,,RUIRU TOWN,Commercial,
19572-2100119572,,,17131601,,RUIRU TOWN,Commercial,
00013-2100100013,,,1030038,,RUIRU TOWN,Commercial,
12305-2100112305,,,20150600974,,RUIRU TOWN,Commercial,
00100-2100100100,,,1018553,,RUIRU TOWN,Domestic,
00021-2100100021,,,H17JA014512,,RUIRU TOWN,Commercial,
00092-2100100092,,,H17JA014656,,RUIRU TOWN,Commercial,
00122-2100100122,,,17176262,,RUIRU TOWN,Domestic,
00136-2100100136,,,1020601,,RUIRU TOWN,Domestic,
19828-2100119828,,,17095666,,RUIRU TOWN,Commercial,
00044-2100100044,,,1017870,,RUIRU TOWN,Commercial,
00022-2100100022,,,1017869,,RUIRU TOWN,Commercial,
00140-2100100140,,,H17JA014654,,RUIRU TOWN,Domestic,
19080-2100119080,,,H17JA014785,,RUIRU TOWN,Commercial,
00039-2100100039,,,17179650,,RUIRU TOWN,Domestic,
15182-2100115182,,,20151100464,,RUIRU TOWN,Domestic,
10572-2100110572,,,14417815,,RUIRU TOWN,Domestic,
11059-2100111059,,,14609315,,RUIRU TOWN,Domestic,
10571-2100110571,,,14183115,,RUIRU TOWN,Domestic,
16260-2100116260,,,16046504,,RUIRU TOWN,Domestic,
11643-2100111643,,,14608315,,RUIRU TOWN,Domestic,
10555-2100110555,,,14130615,,RUIRU TOWN,Domestic,
11779-2100111779,,,20150600173,,RUIRU TOWN,Domestic,
11812-2100111812,,,20150601092,,RUIRU TOWN,Domestic,
21254-2100221254,,,17179073,,RUIRU TOWN,Domestic,
09420-2100109420,,,14189615,,RUIRU TOWN,Domestic,
20676-2100120676,,,17106881,,RUIRU TOWN,DOMESTIC,
10237-2100110237,,,H17JA014787,,RUIRU TOWN,Domestic,
00072-2100100072,,,H17JA014782,,RUIRU TOWN,Domestic,
00135-2100100135,,,H17JA212988,,RUIRU TOWN,Commercial,
07218-2100107218,,,H17JA012983,,RUIRU TOWN,Domestic,
00162-2100100162,,,120056,,RUIRU TOWN,Domestic,
11060-2100111060,,,14565115,,RUIRU TOWN,Commercial,
00067-2100100067,,,h17ja014783,,RUIRU TOWN,Domestic,
00089-2100100089,,,H17JA014784,,RUIRU TOWN,Commercial,
10968-2100110968,,,102304042,,RUIRU TOWN,Commercial,
10063-2100110063,,,14048805,,RUIRU TOWN,Commercial,
14428-2100114428,,,H17JA014459,,RUIRU TOWN,Commercial,
17703-2100117703,,,17057311,,RUIRU TOWN,Domestic,
20957-2100120957,,,17134295,,RUIRU TOWN,Domestic,
06292-2100106292,,,2015,,RUIRU TOWN,Domestic,
06746-2100106746,,,1301210,,RUIRU TOWN,Commercial,
00769-2100100769,,,1303319,,RUIRU TOWN,Domestic,
06838-2100106838,,,14049718,,RUIRU TOWN,Commercial,
21886-2100121886,,,17138277,,RUIRU TOWN,Domestic,
00087-2100100087,,,1016206,,RUIRU TOWN,Commercial,
00078-2100100078,,,h17ja014800,,RUIRU TOWN,Commercial,
18011-2100118011,,,17011487,,RUIRU TOWN,Commercial,
00026-2100100026,,,H17JA014793,,RUIRU TOWN,Commercial,
00065-2100100065,,,h18ja016349,,RUIRU TOWN,Domestic,
19620-2100119620,,,17095852,,RUIRU TOWN,Domestic,
00088-2100100088,,,1016016,,RUIRU TOWN,Commercial,
00116-2100100116,,,1016178,,RUIRU TOWN,Commercial,
07397-2100107397,,,H17JA014454,,RUIRU TOWN,Commercial,
00104-2100100104,,,120259,,RUIRU TOWN,Commercial,
06107-2100106107,,,H19JA003505,,RUIRU TOWN,Commercial,
00112-2100100112,,,7JA014798,,RUIRU TOWN,Commercial,
00003-2100100003,,,H17JA013161,,RUIRU TOWN,Commercial,
16259-2100116259,,,H17JA013165,,RUIRU TOWN,Domestic,
00008-2100100008,,,H17JA014451,,RUIRU TOWN,Commercial,
00128-2100100128,,,1019717,,RUIRU TOWN,Commercial,
00007-2100100007,,,H17JA014797,,RUIRU TOWN,Commercial,
19739-2100119739,,,17133531,,RUIRU TOWN,Commercial,
00059-2100100059,,,14001720,,RUIRU TOWN,Commercial,
00023-2100100023,,,20150900375,,RUIRU TOWN,Commercial,
14134-2100114134,,,20151100462,,RUIRU TOWN,Commercial,
00690-3200100690,,,1301125,,MEMBLEY,Domestic,
00693-3200100693,,,H17JA013133,,MEMBLEY,Domestic,
00541-3200100541,,,080900952,,MEMBLEY,Domestic,
00542-3200100542,,,120136,,MEMBLEY,Domestic,
00548-3200100548,,,320010281,,MEMBLEY,Domestic,
00555-3200100555,,,1201738,,MEMBLEY,Domestic,
00563-3200100563,,,14143315,,MEMBLEY,Domestic,
00567-3200100567,,,H18JA008317,,MEMBLEY,Commercial,
00568-3200100568,,,14154115,,MEMBLEY,Domestic,
00570-3200100570,,,14146015,,MEMBLEY,Domestic,
00571-3200100571,,,14188115,,MEMBLEY,Domestic,
00572-3200100572,,,14188215,,MEMBLEY,Commercial,
00559-3200100559,,,14143215,,MEMBLEY,Domestic,
00504-3200100504,,,320011267,,MEMBLEY,Domestic,
00507-3200100507,,,14186315,,MEMBLEY,Commercial,
00508-3200100508,,,14129915,,MEMBLEY,Domestic,
00510-3200100510,,,120225,,MEMBLEY,Domestic,
00511-3200100511,,,14129215,,MEMBLEY,Domestic,
00512-3200100512,,,14219415,,MEMBLEY,Domestic,
00513-3200100513,,,14150615,,MEMBLEY,Domestic,
00517-3200100517,,,14165715,,MEMBLEY,Domestic,
00519-3200100519,,,14167715,,MEMBLEY,Domestic,
00520-3200100520,,,14185115,,MEMBLEY,Domestic,
00528-3200100528,,,14143615,,MEMBLEY,Domestic,
00529-3200100529,,,14143715,,MEMBLEY,Domestic,
00531-3200100531,,,14143415,,MEMBLEY,Domestic,
05414-3200105414,,,19039862,,MEMBLEY,Domestic,
05416-3200105416,,,19031122,,MEMBLEY,Domestic,
05417-3200105417,,,19030113,,MEMBLEY,Commercial,
05419-3200105419,,,1018154,,MEMBLEY,Domestic,
05420-3200105420,,,19031120,,MEMBLEY,Domestic,
05422-3200105422,,,1017999,,MEMBLEY,Domestic,
05423-3200105423,,,1018095,,MEMBLEY,Domestic,
05424-3200105424,,,1018401,,MEMBLEY,Domestic,
05426-3200105426,,,809,,MEMBLEY,Domestic,
05427-3200105427,,,19031873,,MEMBLEY,Domestic,
05428-3200105428,,,19031870,,MEMBLEY,Domestic,
05431-3200105431,,,19031701,,MEMBLEY,Domestic,
05433-3200105433,,,1018631,,MEMBLEY,Domestic,
05434-3200105434,,,1017996,,MEMBLEY,Domestic,
05435-3200105435,,,19030499,,MEMBLEY,Domestic,
05436-3200105436,,,1018094,,MEMBLEY,Domestic,
05438-3200105438,,,19031135,,MEMBLEY,Domestic,
05439-3200105439,,,19030116,,MEMBLEY,Domestic,
05440-3200105440,,,19031696,,MEMBLEY,Domestic,
05442-3200105442,,,1017679,,MEMBLEY,Domestic,
05443-3200105443,,,1201787,,MEMBLEY,Domestic,
05444-3200105444,,,19031699,,MEMBLEY,Domestic,
05447-3200105447,,,19031138,,MEMBLEY,Domestic,
05449-3200105449,,,19039866,,MEMBLEY,Domestic,
05451-3200105451,,,759,,MEMBLEY,Domestic,
05452-3200105452,,,19029519,,MEMBLEY,Domestic,
05453-3200105453,,,1301132,,MEMBLEY,Domestic,
05454-3200105454,,,872,,MEMBLEY,Domestic,
05456-3200105456,,,1301169,,MEMBLEY,Domestic,
05457-3200105457,,,1017531,,MEMBLEY,Domestic,
05458-3200105458,,,1018218,,MEMBLEY,Domestic,
05459-3200105459,,,19028405,,MEMBLEY,Domestic,
05461-3200105461,,,1017993,,MEMBLEY,Domestic,
05463-3200105463,,,19030494,,MEMBLEY,Domestic,
05465-3200105465,,,19031116,,MEMBLEY,Domestic,
05467-3200105467,,,19029480,,MEMBLEY,Domestic,
05472-3200105472,,,19029518,,MEMBLEY,Domestic,
05473-3200105473,,,19029516,,MEMBLEY,Domestic,
05474-3200105474,,,19031871,,MEMBLEY,Domestic,
05475-3200105475,,,19031874,,MEMBLEY,Domestic,
05476-3200105476,,,19031881,,MEMBLEY,Domestic,
05477-3200105477,,,19031880,,MEMBLEY,Domestic,
05478-3200105478,,,19029481,,MEMBLEY,Domestic,
05479-3200105479,,,1018009,,MEMBLEY,Domestic,
05481-3200105481,,,917,,MEMBLEY,Domestic,
05485-3200105485,,,19030502,,MEMBLEY,Domestic,
05487-3200105487,,,864,,MEMBLEY,Domestic,
05488-3200105488,,,19014760,,MEMBLEY,Domestic,
05489-3200105489,,,19056302,,MEMBLEY,Domestic,
05490-3200105490,,,19029363,,MEMBLEY,Domestic,
05491-3200105491,,,19028410,,MEMBLEY,Domestic,
05493-3200105493,,,1018001,,MEMBLEY,Domestic,
05497-3200105497,,,19031863,,MEMBLEY,Domestic,
05498-3200105498,,,1018635,,MEMBLEY,Domestic,
05499-3200105499,,,19028403,,MEMBLEY,Domestic,
05501-3200105501,,,19031695,,MEMBLEY,Domestic,
05503-3200105503,,,19014553,,MEMBLEY,Domestic,
05504-3200105504,,,19031865,,MEMBLEY,Domestic,
05505-3200105505,,,19029517,,MEMBLEY,Domestic,
05506-3200105506,,,19029476,,MEMBLEY,Domestic,
05507-3200105507,,,19031866,,MEMBLEY,Domestic,
05508-3200105508,,,19031868,,MEMBLEY,Domestic,
05510-3200105510,,,19029607,,MEMBLEY,Domestic,
05512-3200105512,,,18085465,,MEMBLEY,Domestic,
05515-3200105515,,,1018005,,MEMBLEY,Domestic,
05516-3200105516,,,19031694,,MEMBLEY,Domestic,
05517-3200105517,,,19030121,,MEMBLEY,Domestic,
05518-3200105518,,,17176386,,MEMBLEY,Domestic,
05520-3200105520,,,1018000,,MEMBLEY,Domestic,
05521-3200105521,,,19028408,,MEMBLEY,Domestic,
05522-3200105522,,,1018404,,MEMBLEY,Domestic,
05523-3200105523,,,19029477,,MEMBLEY,Domestic,
05524-3200105524,,,19028885,,MEMBLEY,Domestic,
05525-3200105525,,,19028888,,MEMBLEY,Domestic,
05526-3200105526,,,19031113,,MEMBLEY,Domestic,
05527-3200105527,,,19014554,,MEMBLEY,Domestic,
05528-3200105528,,,1017699,,MEMBLEY,Domestic,
05529-3200105529,,,1017522,,MEMBLEY,Domestic,
05530-3200105530,,,19014551,,MEMBLEY,Domestic,
05534-3200105534,,,19028404,,MEMBLEY,Domestic,
05535-3200105535,,,19031133,,MEMBLEY,Domestic,
05536-3200105536,,,1016003,,MEMBLEY,Domestic,
05537-3200105537,,,19039864,,MEMBLEY,Domestic,
05539-3200105539,,,19029475,,MEMBLEY,Domestic,
05540-3200105540,,,19031879,,MEMBLEY,Commercial,
05543-3200105543,,,19039331,,MEMBLEY,Domestic,
05545-3200105545,,,19030497,,MEMBLEY,Domestic,
05546-3200105546,,,1018409,,MEMBLEY,Domestic,
05547-3200105547,,,19029370,,MEMBLEY,Domestic,
05548-3200105548,,,19030500,,MEMBLEY,Domestic,
05549-3200105549,,,1016238,,MEMBLEY,Domestic,
05551-3200105551,,,19028411,,MEMBLEY,Domestic,
05554-3200105554,,,19031137,,MEMBLEY,Domestic,
05555-3200105555,,,19031698,,MEMBLEY,Domestic,
05556-3200105556,,,19028407,,MEMBLEY,Domestic,
05558-3200105558,,,1017134,,MEMBLEY,Domestic,
05560-3200105560,,,17176128,,MEMBLEY,Domestic,
