New Acc No,Old Acc No,Zone,Subzone,Longitude,Latitude
13240,2100213240,002 GITAMBAYA,GITAMBAYA,272110.2678,9871934.755
10574,2100210574,002 GITAMBAYA,GITAMBAYA,272109.8315,9871922.201
9100,2100209100,002 GITAMBAYA,GITAMBAYA,272067.7115,9871899.995
7776,2100207776,002 GITAMBAYA,GITAMBAYA,272039.3572,9871905.284
13147,2100213147,002 GITAMBAYA,GITAMBAYA,272020.5055,9871931.999
8000,2100208000,002 GITAMBAYA,GITAMBAYA,272015.9113,9871947.719
19677,2100219677,002 GITAMBAYA,GITAMBAYA,272128.4857,9872091.804
1066,2100201066,002 GITAMBAYA,GITAMBAYA,272144.1367,9872077.99
14432,2100214432,002 GITAMBAYA,GITAMBAYA,272174.7852,9872056.058
10075,2100210075,002 GITAMBAYA,GITAMBAYA,272186.9431,9872049.117
8896,2100208896,002 GITAMBAYA,GITAMBAYA,272204.9227,9872048.024
20667,2100220667,002 GITAMBAYA,GITAMBAYA,272217.4634,9872024.843
17054,2100217054,002 GITAMBAYA,GITAMBAYA,272229.9068,9872007.838
14289,2100214289,002 GITAMBAYA,GITAMBAYA,272262.8416,9872057.264
16556,2100216556,002 GITAMBAYA,GITAMBAYA,272261.4013,9872099.107
11898,2100211898,002 GITAMBAYA,GITAMBAYA,272228.7384,9872109.996
12699,2100212699,002 GITAMBAYA,GITAMBAYA,272237.101,9872117.302
21026,2100221026,002 GITAMBAYA,GITAMBAYA,272222.1032,9872125.844
21880,2100221880,002 GITAMBAYA,GITAMBAYA,272215.5058,9872114.982
15189,2100215189,002 GITAMBAYA,GITAMBAYA,272203.6157,9872136.559
7209,2100207209,002 GITAMBAYA,GITAMBAYA,272196.4406,9872129.255
14431,2100214431,002 GITAMBAYA,GITAMBAYA,272182.7744,9872143.734
15196,2100215196,002 GITAMBAYA,GITAMBAYA,272189.2822,9872150.116
11463,2100211463,002 GITAMBAYA,GITAMBAYA,272242.9472,9872192.128
1068,2100201068,002 GITAMBAYA,GITAMBAYA,272239.4995,9872187.573
6239,2100206239,002 GITAMBAYA,GITAMBAYA,272263.8883,9872175.203
12311,2100212311,002 GITAMBAYA,GITAMBAYA,272272.1834,9872173.218
20650,2100220650,002 GITAMBAYA,GITAMBAYA,272300.9542,9872156.28
15458,2100215458,002 GITAMBAYA,GITAMBAYA,272328.7531,9872149.406
21416,2100221416,002 GITAMBAYA,GITAMBAYA,272334.593,9872181.558
22678,2100222678,002 GITAMBAYA,GITAMBAYA,272347.1857,9872214.913
21244,2100221244,002 GITAMBAYA,GITAMBAYA,272336.0511,9872217.929
9373,2100209373,002 GITAMBAYA,GITAMBAYA,272334.6172,9872225.117
11071,2100211071,002 GITAMBAYA,GITAMBAYA,272327.7874,9872227.895
21076,2100221076,002 GITAMBAYA,GITAMBAYA,272320.5656,9872233.807
14442,2100214442,002 GITAMBAYA,GITAMBAYA,272310.5896,9872225.56
7383,2100207383,002 GITAMBAYA,GITAMBAYA,272301.9943,9872232.116
21242,2100221242,002 GITAMBAYA,GITAMBAYA,272294.0026,9872250.987
1033,2100201033,002 GITAMBAYA,GITAMBAYA,272281.152,9872240.691
21420,2100221420,002 GITAMBAYA,GITAMBAYA,272280.3949,9872261.337
21014,2100221014,002 GITAMBAYA,GITAMBAYA,272377.0249,9872440.802
12313,2100212313,002 GITAMBAYA,GITAMBAYA,272302.2964,9872353.594
8457,2100208457,002 GITAMBAYA,GITAMBAYA,272319.3499,9872376.206
15993,2100215993,002 GITAMBAYA,GITAMBAYA,272408.4381,9872490.613
825,2100200825,002 GITAMBAYA,GITAMBAYA,272493.8524,9872424.775
173,2100200173,002 GITAMBAYA,GITAMBAYA,272549.0799,9872383.837
210,2100200210,002 GITAMBAYA,GITAMBAYA,272581.1393,9872360.67
856,2100200856,002 GITAMBAYA,GITAMBAYA,272334.4103,9872512.791
14822,2100214822,002 GITAMBAYA,GITAMBAYA,272322.7648,9872503.861
22368,2100222368,002 GITAMBAYA,GITAMBAYA,272327.1419,9872454.536
8850,2100208850,002 GITAMBAYA,GITAMBAYA,272342.6943,9872448.814
799,2100200799,002 GITAMBAYA,GITAMBAYA,272357.4127,9872441.654
23633,2100223633,002 GITAMBAYA,GITAMBAYA,272296.5919,9872468.689
217,2100200217,002 GITAMBAYA,GITAMBAYA,272303.5426,9872426.758
21976,2100221976,002 GITAMBAYA,GITAMBAYA,272305.7482,9872429.93
7805,2100207805,002 GITAMBAYA,GITAMBAYA,272227.6515,9872356.692
286,2100200286,002 GITAMBAYA,GITAMBAYA,272210.8543,9872313.159
